,review_text,review_score
1696632,ets2 like skyrim trucks place drive 22t gas pipe drunk cork.,1
127467,heck yea terraria wonderful game wish friends would . first question always like minecraft let tell ' actually kinda like minecraft 2d less boring. example different biomes different underground structure need think overcome dangers offer. besides amazing biomes get revisit value unlocked hardmode world- another amazing challenge must overcome- get kill lot bosses progress pretty awesome. thing game really made fall love .. man ' kinda hard explain. steady progress make shows okay ' really nice know ' work way nothing. killing first boss problems breeze ' hardmode bosses . ,1
3742632, hate game ,-1
5663995, game keeps getting locked . cannot move one choice animal etc add biome next without visuals scanning crazily - whole thing locking responding input. frustrating ,-1
2916312, faithful magic player twenty years. started playing digital magic games 5 years ago. great time . game flop. 2hg grave mistake. dissapointed. hope today' expansion makes lousy game.,-1
1141381,sick game new dlc get em worth ,1
2659013, addicting cocaine much cheaper,1
2046009,early access review,-1
226923,awesome game facial animations amazing story cool cases great. ' sandbox/freeroaming game like gta v ' supposed ' great.,1
1156638,dallas nasty cold wolf leave number beep beep ... nah ' kidding ' steve chains drinks much coffee... speed hox ... ' plain cool.... nothing houston banged head toilet john wick dooozeeeeer jacket arms outstreched clover f k haaaard bonnie get twitter dragan noone uses poor dragan boner pressed button sokol barney yeeroh son k kori n taser ... something like . dozzeerrr,1
6272100,frustratingly difficult. ' gone bald third mission difficult. restart entire game. try . restart entire game. try . motto difficult. never beat game get little better time try difficult. every single game ' played always easiest difficulty. lucifer must field day game series came . worst part ' help keep coming back . firaxis remake caused give series whack ' yet make past month three great game. may come time game would like huh ' tutorial dispise frustrating difficulty ' regret buying . ' perfect controls ' make sense unless experiment getting squadmates killed process challange worth rising .,1
1073884,asymmetrical faction balance somewhat gone time gone . really wish faction differences esfs mbts really different. differences little impact gameplay. however game decently balanced hell lot fun. would defintely advise playing outfit makes whole experience alot better. also optimization actually good. pay win get' really boring loadouts. cert progression one worst ideas ' yet seen video game free play catch. tl dr damn good game big battles lazers fascism. 8/8 m8,1
3330803,good game tad pricey. feel incomplete cost game feels repetetive without campaign single player progression mode.,1
3825764, game amazing hell . . . literally,1
3589317,early access review,1
2164414,one way describe game spider organs way ,1
349028,great game needs get linux version steam play,1
5193073,best ww2 strategy game imo,1
4053505,' recommend one... really need something make computer run hot heater broken suggest recompiling kernels trying factor double mersenne primes bitcoin mining something anythign really instead. might okay interaction decent job throttling resource consumption enough could leave running lulz absolutely reason value running ... software.,-1
5204424,overall interesting little game excellent soundtrack ambiance. dark textures reminiscent limbo game unique character. real issue regarding game play textures always clearly defined also made challenging. definitely worth play although may amazing replay value.,1
2038061, like dust artwork graphics dust immensly beautiful looking game. art style eye candy. sound/music lot games play sound ' like music fx-sounds dust really excells ' sound/music. adds lot overall game experience. rpg-element rpg part dust ' completely necessary still enjoy . straight forward simple. like dust dialogue personally dialogue characters often seemed bit forced. like story enough still talk characters read dialogue often found rather awkward conversations. mixed feelings dust story/characters people guess story bit cheesy. overall still liked story maybe ' sucker interesting enough keep way end. characters great others much. ' personal preference. combat system honestly thought combat system great. level character like fight way game sword combos ' rewarding fun. however towards end discover certain combo makes whole combat system redundant since kill everything two-key-combo. conclusion overall solid enjoyable game would definitely play regret buying. considering game made single guy makes even impressive. recommend buying especially ' sale.,1
5190113,started fun hour game ' interact objects continue story. googling apparently common ' find objects certain order. fan artifex mundi games one nope.,-1
3594927,excellent fps. needs larger maps ability find one gets kicked players. good slow fast dont really spend money upgrade better stuff . get trial times new stuff limited period time.,1
4161160, like free app get . ' price meal mcdonald' give hours entertainment rage ' dedicated. currently beaten levels cycles damn game gets hard.,1
730631,funny chaotic explosive intense inovative creative cartoonishly gory fun... one. free.,1
617360,really fun game. great voice acting story atsmophere. also ran well modest system. fan westerns one ' disappoint.,1
1298264,invest time tutorials read getting started post two. baby steps put rocket orbit shoot solar system. feeling accomplishment make first orbital docking amazing.,1
2293213, love game. like combat systems like batman arkym asylum ' dissapointed. top ' fan lotr damn say goodbye games. also sports pretty decent voice acting nice story line actually funny moments make chuckle. mention ork heirachy system ai fascinating thing see motion. ' downfall may could become repatative due fact game essentially killing lots lots orks... well ' want anything else. rapidly becoming one favourite games time ' saying something. lt lt lt lt p l e r gt gt gt gt completed - ' get hopes epic boss battles though last two main bad guys simple qte quick time events leave feeling little cheated. god damn qte'. bit shame way reason play.,1
2552704,review right name never.,-1
4287225, gotto say definately fun pre-sequel game. plot well written ' crazy. absolutely loved every part would awesome next borderlands game could somehow top story line. epic stuff really makes part story. 10/10 would play .,1
3388258, 5 game quite repetitive missions either easy nearly impossible manage using specials build time . worth time maybe train nothing except killing time .,-1
3399471, melon melon melon melon melon good game interesting gameplay. 10/10 ,1
608491, many turd jokes taste. next ,-1
6111523,yes recommend modern rts fan. prolly one best games genre.,1
3474620, outstanding pastiche classic weird fiction beside purely fun point amp click adventure game series lot store willing engross story. minimilistic style misleading development team game kitchen pushes style limits bring genuinely eerie moments gameplay. although story elements feature familiar homage classic weird fiction amp later landmarks genre team manages create novel tale full oppressive mystery positively glorious mood amp glimpes real historical locations. fellow weird fiction fans cannot recommend enough. videte ne quis sciat ,1
5040574, nice way kill free time ,1
2183107,excellent. gives great insight life tyranny unexpected point view. even important parallels modern day nanny-surveillance states west. subjugated intrusive humiliating airport security theatre illegal nsa wiretapping cctv monitoring constant nanny-state intrusion daily lives antithesis free citizens free democratic state. papers please part school curriculum along lessons nature tyranny.,1
401918,' ok,1
6245582, fun. worse windows xp pinball. 2/10,-1
5929296, anyone ' eu. game great. used play back ogp rereleased steam ' even better. ' pay win anymore easy learn quality performance depends skilled . fun combos fun classes fun missions. highly reccomend .,1
230079,possibly greatest game ' ever played. fleshed- story immense detailed open world la incredibly lifelike characters make enjoyable gaming experience ' ever . ' starting second playthrough. con difficult last 2 levels.,1
2980349, god game bit crazy.,1
3013257,best season far,1
6272545,x-com classic good reason. fans turn-based strategy sure enjoy game although perhaps genre alone ' entirely adequate describe . ' call sort turn-based survival horror game. whenever embark new mission never know next alien might hiding - one rash move best men could eviscerated unseen alien monstrosity. fights feel like genuine struggle survive onslaught. game much worth purchase emulated nature game ' appeal openxcom definitely something check .,1
3063265, game trying taken seriously ' terribly written - awkward ham-handed childish. ' trying funny ... well ' funny. ' left wondering game exists first place.,-1
3279991,' gta v pc. damn pretty good machine. even without one ' better looking consoles. game amazing course ' think ' ever laughed many times playing online. every time play something absurd laugh unceasingly violently. plus always fun fail high stakes heist last second time time till players rage quit. ok though ' plenty player shoot sky whilst fly golden helicopters.,1
5752930, depressingly grim artistic narration boy search sister cruel unforgiving world limbo constitutes emotionally draining game undoubtedly contains one epic immersive boss fights ever conceived.,1
3344930,awesome 3 even though played longer others still enjoyed warning may fun friends 40 hours warning ,1
612935,really fun game really enjoyed try ,1
2264190, hours playing free weekend make fall love game. ' purchase already game library. sale purchase full price... ' quite investment torn.probably gonna wait till next sale ,1
5138953,10/10 would play ,1
4614205,one best games ' ever played. 10/10 would invade stalingrad .,1
4912295,please enter game police ambushes id check,1
2196938,climbed top tower blown exploding zombie arrive. 10/10.,1
2590762, game challenging refreshing recomend anyone looking escape bit.,1
2427733,superb superb. loving playing .,1
3935827, buy game stopped supporting pc version enen though games made pc. really makes sense reason money. keep mind fully supporting xbox ps versions added new content pc ripped . paid price console people get nothing. fact ' easy support console costs much processor cheap even broke people afford . understand point marketing. fact wider audiende people buy 300-400 console spend 2000 gaming pc. ' simple math really. sad part wont even give anyone pc option refunds even transfer ownership console. trust ' tried contacted wb twice. much love mortal kombat honestly say never purchase another wb games title ever .,-1
66120, fact play potato laptop thumbs book,1
516425,great game still better call duty games always stay way mainly gameplay people game best think people try get chance never regret especially endless fun online.,1
4010971, like binding isaac nuclear throne ' wrong buying game. visuals great weapon variety great characters fun. game matches isaacs wide selection items yet discover certainly get money' worth.,1
6043334,' enjoyed game much total addiction fact good selection heroes adds lot flavour matches.,1
3138679,works like dream steam controller... ' lot fun goating around couch ,1
610441, play much post already love ,1
2066344,' pretty good. 6 bags instant mash 15 hans grubers,1
6362344, really enjoy casual game methodically take enemy towers pace checkpoints easy revert challenging perfect keep troops alive. plays great alienware alpha i7 windows 10 47 tv full screen xbox gamepad. virtually identical look feel mobile version played except little guy run around instead using finger. take easy making path take loops around targets time heal engaging next street/block towers. fun playing ' find engaging games. best play -depth games. 6/10 recommended tower defense slower pace.,1
4328706, good game like horror fan like ,1
824929, actually recommending ther service game even says servers continue tell . game ' bother.,1
1095393,bought game wanted get dlc sold house micro transactions ' running things sell.,-1
656985, say jet set radio well ' awesome. enough said. graphics old-school fitting game like bent mimicing pop culture . ' know controls keyboards strongly reccomend playing xbox 360 controller pc much better experience. price steal. 4.99 exact conole versions cost 10 bucks. reason computer beings windows 8 model plays fine. however one cutscene game crashed. afterwards never happened . thing hate clunky controls comes moving left right ground ramps midair. voice acting neat music epic style graphics amazing overall ' amazing game flaw slightly controls comes moving character. plays fine reccomend anyone wishing play another sega masterpiece. jet set radio future could released steam well.,1
2054044,pretty decent game. war thunder game anyone play.,1
